Date,Open,High,Low,Close,Adj Close,Volume
27/11/2015,118.290001,118.410004,117.599998,117.809998,110.09021,13046400
30/11/2015,117.989998,119.410004,117.75,118.300003,110.548103,39180300
01/12/2015,118.75,118.809998,116.860001,117.339996,109.650993,34852400
02/12/2015,117.339996,118.110001,116.080002,116.279999,108.660454,33386600
03/12/2015,116.550003,116.790001,114.220001,115.199997,107.65123,41569500
04/12/2015,115.290001,119.25,115.110001,119.029999,111.230263,57777000
07/12/2015,118.980003,119.860001,117.809998,118.279999,110.529411,32084200
08/12/2015,117.519997,118.599998,116.860001,118.230003,110.482658,34309500
09/12/2015,117.639999,117.690002,115.080002,115.620003,108.043701,46361400
10/12/2015,116.040001,116.940002,115.510002,116.169998,108.557663,29212700
11/12/2015,115.190002,115.389999,112.849998,113.18,105.763588,46886200
14/12/2015,112.18,112.68,109.790001,112.480003,105.109451,64318700
15/12/2015,111.940002,112.800003,110.349998,110.489998,103.24987,53323100
16/12/2015,111.07,111.989998,108.800003,111.339996,104.044151,56238500
17/12/2015,112.019997,112.25,108.980003,108.980003,101.838814,44772800
18/12/2015,108.910004,109.519997,105.809998,106.029999,99.082115,96453300
21/12/2015,107.279999,107.370003,105.57,107.330002,100.296921,47590600
22/12/2015,107.400002,107.720001,106.449997,107.230003,100.203491,32789400
23/12/2015,107.269997,108.849998,107.199997,108.610001,101.49305,32657400
24/12/2015,109,109,107.949997,108.029999,100.951057,13570400
28/12/2015,107.589996,107.690002,106.18,106.82,99.820358,26704200
29/12/2015,106.959999,109.43,106.860001,108.739998,101.614525,30931200
30/12/2015,108.580002,108.699997,107.18,107.32,100.287575,25213800
31/12/2015,107.010002,107.029999,104.82,105.260002,98.362572,40912300
04/01/2016,102.610001,105.370003,102,105.349998,98.446655,67649400
05/01/2016,105.75,105.849998,102.410004,102.709999,95.979675,55791000
06/01/2016,100.559998,102.370003,99.870003,100.699997,94.101387,68457400
07/01/2016,98.68,100.129997,96.43,96.449997,90.129868,81094400
08/01/2016,98.550003,99.110001,96.760002,96.959999,90.606438,70798000
11/01/2016,98.970001,99.059998,97.339996,98.529999,92.073563,49739400
12/01/2016,100.550003,100.690002,98.839996,99.959999,93.409874,49154200
13/01/2016,100.32,101.190002,97.300003,97.389999,91.00827,62439600
14/01/2016,97.959999,100.480003,95.739998,99.519997,92.998695,63170100
15/01/2016,96.199997,97.709999,95.360001,97.129997,90.765305,79833900
19/01/2016,98.410004,98.650002,95.5,96.660004,90.326103,53087700
20/01/2016,95.099998,98.190002,93.419998,96.790001,90.447578,72334400
21/01/2016,97.059998,97.879997,94.940002,96.300003,89.9897,52161500
22/01/2016,98.629997,101.459999,98.370003,101.419998,94.7742,65800500
25/01/2016,101.519997,101.529999,99.209999,99.440002,92.923958,51794500
26/01/2016,99.93,100.879997,98.07,99.989998,93.437889,75077000
27/01/2016,96.040001,96.629997,93.339996,93.419998,87.298416,133369700
28/01/2016,93.790001,94.519997,92.389999,94.089996,87.9245,55678800
29/01/2016,94.790001,97.339996,94.349998,97.339996,90.961533,64416500
01/02/2016,96.470001,96.709999,95.400002,96.43,90.111168,40943500
02/02/2016,95.419998,96.040001,94.279999,94.480003,88.288963,37357200
03/02/2016,95,96.839996,94.080002,96.349998,90.036423,45964300
04/02/2016,95.860001,97.330002,95.190002,96.599998,90.759865,46471700
05/02/2016,96.519997,96.919998,93.690002,94.019997,88.335838,46418100
08/02/2016,93.129997,95.699997,93.040001,95.010002,89.266014,54021400
09/02/2016,94.290001,95.940002,93.93,94.989998,89.247223,44331200
10/02/2016,95.919998,96.349998,94.099998,94.269997,88.570732,42343600
11/02/2016,93.790001,94.720001,92.589996,93.699997,88.035179,50074700
12/02/2016,94.190002,94.5,93.010002,93.989998,88.307655,40351400
16/02/2016,95.019997,96.849998,94.610001,96.639999,90.79744,49057900
17/02/2016,96.669998,98.209999,96.150002,98.120003,92.187965,44863200
18/02/2016,98.839996,98.889999,96.089996,96.260002,90.44043,39021000
19/02/2016,96,96.760002,95.800003,96.040001,90.233719,35374200
22/02/2016,96.309998,96.900002,95.919998,96.879997,91.022934,34280800
23/02/2016,96.400002,96.5,94.550003,94.690002,88.965324,31942600
24/02/2016,93.980003,96.379997,93.32,96.099998,90.290085,36255700
25/02/2016,96.050003,96.760002,95.25,96.760002,90.910202,27582700
26/02/2016,97.199997,98.019997,96.580002,96.910004,91.051132,28991100
29/02/2016,96.860001,98.230003,96.650002,96.690002,90.844444,35216300
01/03/2016,97.650002,100.769997,97.419998,100.529999,94.452271,50407100
02/03/2016,100.510002,100.889999,99.639999,100.75,94.658974,33169600
03/03/2016,100.580002,101.709999,100.449997,101.5,95.36364,36955700
04/03/2016,102.370003,103.75,101.370003,103.010002,96.782341,46055100
07/03/2016,102.389999,102.830002,100.959999,101.870003,95.711258,35828900
08/03/2016,100.779999,101.760002,100.400002,101.029999,94.92205,31561900
09/03/2016,101.309998,101.580002,100.269997,101.120003,95.006615,27201700
10/03/2016,101.410004,102.239998,100.150002,101.169998,95.053589,33513600
11/03/2016,102.239998,102.279999,101.5,102.260002,96.077667,27408200
14/03/2016,101.910004,102.910004,101.779999,102.519997,96.32196,25076100
15/03/2016,103.959999,105.18,103.849998,104.580002,98.257431,40067700
16/03/2016,104.610001,106.309998,104.589996,105.970001,99.563393,38303500
17/03/2016,105.519997,106.470001,104.959999,105.800003,99.403671,34420700
18/03/2016,106.339996,106.5,105.190002,105.919998,99.516403,44205200
21/03/2016,105.93,107.650002,105.139999,105.910004,99.507019,35502700
